V1,V2,V3,start,duration,V6,V7,tier,V9,V10,end,id,source
SPEAKER,MPILab_0001_258640_01_S_Audio,1,157.02,3.142,<NA>,<NA>,KCHI,<NA>,<NA>,160.162,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,158.482,1.529,<NA>,<NA>,FEM,<NA>,<NA>,160.011,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,160.37,3.971,<NA>,<NA>,FEM,<NA>,<NA>,164.341,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,160.373,3.959,<NA>,<NA>,SPEECH,<NA>,<NA>,164.332,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,161.818,0.108,<NA>,<NA>,CHI,<NA>,<NA>,161.92600000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,162.079,0.101,<NA>,<NA>,CHI,<NA>,<NA>,162.18,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,165.036,1.099,<NA>,<NA>,SPEECH,<NA>,<NA>,166.135,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,165.044,1.056,<NA>,<NA>,FEM,<NA>,<NA>,166.10000000000002,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,168.006,1.262,<NA>,<NA>,SPEECH,<NA>,<NA>,169.268,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,168.286,0.889,<NA>,<NA>,FEM,<NA>,<NA>,169.175,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,170.12,3.871,<NA>,<NA>,SPEECH,<NA>,<NA>,173.991,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,170.144,1.941,<NA>,<NA>,CHI,<NA>,<NA>,172.085,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,170.171,1.949,<NA>,<NA>,KCHI,<NA>,<NA>,172.12,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,172.493,1.498,<NA>,<NA>,FEM,<NA>,<NA>,173.99099999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,174.211,1.541,<NA>,<NA>,SPEECH,<NA>,<NA>,175.752,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,174.383,1.331,<NA>,<NA>,KCHI,<NA>,<NA>,175.714,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,175.919,0.614,<NA>,<NA>,FEM,<NA>,<NA>,176.53300000000002,258640,Audio
